ID,site,V_m3,dV_LperSec,N_above_m0,m0,mmax,afb,b,category,comment_N,comment_m0,b_nogap,N_nogap,m0_nogap,afb_all,afb_corr
77ta,Torre Alfina,4200.0,,177.0,,3.0,,,D,,,1.16,1.0,-0.28113819536497875,-3.949369597021276,-3.949369597021276
78ce,Cesano,2000.0,,,,2.0,,,D,,,1.16,1.0,-0.90550795986578,-4.351419229108286,-4.351419229108286
83fh,Fenton Hill,21000.0,100.0,850.0,-3.0,0.0,,,C,,,1.16,850.0,-3.0,-4.872800369019626,-3.2528086621295174
87lm,Le Mayet,42800.0,14.0,107.0,-2.0,-1.0,,,C,,,1.16,107.0,-2.0,-4.922059991327963,-3.7319264950496622
88hi,Hijiori,2000.0,100.0,65.0,-4.0,-1.0,,,C,,,1.16,65.0,-4.0,-6.128116639021125,-5.788261605571643
89fj,Fjallbacka,200.0,,,,-0.2,,,D,,,1.16,1.0,-2.2791214417675425,-4.944810868114331,-4.944810868114331
91og,Ogashi,10100.0,11.0,1504.0,-2.0,,-2.65,0.74,A,injection period only,mc,0.74,1504.0,-2.0,-2.65,-2.65
92hi,Hijiori,2100.0,,90.0,-4.0,0.0,,,C,,,1.16,90.0,-4.0,-6.007976785294593,-6.007976785294593
93og,Ogashi,5400.0,15.0,762.0,-1.2,,-3.2,0.81,A,injection period only,mc,0.81,762.0,-1.2,-3.2,-3.2
93sf,Soultz-sous-Forets,25900.0,19.0,9550.0,-1.0,1.9,-2.0,1.38,A,injection period only,mc,1.38,9550.0,-1.0,-2.0,-2.0
94ktb,KTB,86.0,3.0,54.0,-1.3,1.2,-1.65,0.93,A,injection period only,mc,0.93,54.0,-1.3,-1.65,-1.65
95sf,Soultz-sous-Forets,28500.0,30.0,3950.0,-1.2,,-3.8,2.18,A,injection period only,mc,2.18,3950.0,-1.2,-3.8,-3.8
96sf,Soultz-sous-Forets,13500.0,78.0,3325.0,-1.2,,-3.1,1.77,A,injection period only,mc,1.77,3325.0,-1.2,-3.1,-3.1
00ktb,KTB,4000.0,1.0,2799.0,-1.2,1.1,,,C,,,1.16,2799.0,-1.2,-1.5470570928618002,0.539615573689892
00sf,Soultz-sous-Forets,23400.0,45.0,6405.0,0.6,2.5,-0.5,1.1,A,injection period only,mc,1.1,6405.0,0.6,-0.5,-0.5
02bu,Bad Urach,5600.0,,290.0,,1.8,,,D,,,1.16,1.0,-1.0303819127659402,-4.943431045814691,-4.943431045814691
03be,Berlin,300000.0,80.0,134.0,-0.5,3.7,,,C,,,1.16,134.0,-0.5,-3.930016456354855,-2.676065191942426
03ha,Habanero,14600.0,19.0,2834.0,0.0,3.7,-0.95,0.75,A,injection period only,mc,0.75,2834.0,0.0,-0.95,-0.95
03sf,Soultz-sous-Forets,33000.0,30.0,4728.0,-0.9,2.9,,0.83,B,,,0.83,4728.0,-0.9,-1.5908364720046881,-0.30502442992943735
04ktb,KTB,64100.0,3.0,2405.0,-1.0,,-4.2,1.1,A,injection period only,mc,1.1,2405.0,-1.0,-4.2,-4.2
04sf,Soultz-sous-Forets,9300.0,30.0,923.0,-0.3,2.3,,0.81,B,,,0.81,923.0,-0.3,-1.2462812475280232,-0.3434415413651486
05ha,Habanero,22500.0,20.0,16017.0,-1.2,2.9,,0.83,B,,,0.83,16017.0,-1.2,-1.1436013425337914,0.34559616883915645
05pa,Paralana,3100.0,7.0,7085.0,-0.6,2.5,,1.32,B,,,1.32,7085.0,-0.6,-0.43302183925079385,2.444512579064193
05sf,Soultz-sous-Forets,12300.0,36.0,449.0,-0.3,2.7,,0.89,B,,,0.89,449.0,-0.3,-1.7046587704360747,-0.7697183222439512
06ba,Basel,10800.0,23.0,2313.0,1.0,3.4,0.4,1.65,A,injection period only,mc,1.65,2313.0,1.0,0.4,0.4
07ge,Geysers,10500000.0,50.0,1776.0,1.4,3.2,,1.22,B,,,1.22,1776.0,1.4,-2.0637463376273564,0.0885911917616653
07gs,Gross Schoeneback,13000.0,25.0,68.0,-1.8,-1.0,,,C,,,1.16,68.0,-1.8,-4.3694344396006,-3.358069902718353
10jo,Jolokia,380.0,1.0,73.0,-1.4,1.0,,,C,injection period only,,1.16,73.0,-1.4,-2.340460736496354,-1.3318891115196576
11dp,Desert Peak,65000.0,33.0,18.0,0.0,0.7,,,C,,,1.16,18.0,0.0,-3.5576408515395497,-2.8620745510576313
12ha,Habanero,34000.0,22.0,23960.0,-1.6,3.0,,1.01,B,injection period only,,1.01,23960.0,-1.6,-1.7679921033249815,0.3484226773409027
12nb,Newberry,40000.0,,,0.2,,-2.8,0.8,A,,mc,0.8,,0.2,-2.8,-2.8
13rr,Raft River,341000.0,9.0,187.0,-1.3,1.0,,,C,,,1.16,187.0,-1.3,-4.768912772455998,-3.4148109920533907
13ri,Rittershoffen,3200.0,41.0,831.0,-1.4,0.9,,1.16,B,injection period only,,1.16,831.0,-1.4,-2.209548954535795,-0.7697524255494423
13sg,St Gallen,1200.0,,349.0,-1.1,3.5,,0.83,B,,,0.83,349.0,-1.1,-1.449355819088445,-1.449355819088445
14nb,Newberry,9500.0,,398.0,0.1,2.26,-1.6,1.0,A,,mc,1.0,398.0,0.1,-1.6,-1.6
15as,Aspo,0.1,0.05,196.0,-4.2,-3.5,,2.9,B,,,2.9,196.0,-4.2,-8.887743928643523,-10.533166197992616
16po,Pohang,12800.0,,98.0,-1.0,3.3,-1.65,0.65,A,,,0.65,98.0,-1.0,-1.65,-1.65
17gr,Grimsel,1.4,,65.0,-4.3,-2.5,-2.4,1.03,A,,mc,1.03,65.0,-4.3,-2.4,-2.4
18es,Espoo,18200.0,4.0,43882.0,-0.6,1.9,,1.3,B,,,1.3,43882.0,-0.6,-0.397784974889837,3.072846754202536
